lead_id,business_name,niche,website,contact_form_url,draft_file
6be0deec,Abacusrow,handmade jewelry,https://www.abacusrow.com,https://www.abacusrow.com/pages/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/6be0deec-abacusrow-contact-form.txt
930002b6,Chamomilebotanicals,handmade skincare,https://www.chamomilebotanicals.com,https://www.chamomilebotanicals.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/930002b6-chamomilebotanicals-contact-form.txt
52c23312,Candlesmith,handmade candles,https://candlesmith.com,https://candlesmith.com/contact-us/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/52c23312-candlesmith-contact-form.txt
926aaa1b,Macaelamade,print on demand,https://www.macaelamade.com,https://www.macaelamade.com/contact-us,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/926aaa1b-macaelamade-contact-form.txt
3e6ac62d,Partytimeevents,event planning,https://www.partytimeevents.com,https://www.partytimeevents.com/contact-us,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/3e6ac62d-partytimeevents-contact-form.txt
bd895bf8,Scienceofhappinessandsuccess,health coaching,https://scienceofhappinessandsuccess.com,https://scienceofhappinessandsuccess.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/bd895bf8-scienceofhappinessandsuccess-contact-form.txt
a7093276,Livecleanhealthcoachingprogram,health coaching,https://www.livecleanhealthcoachingprogram.com,https://www.livecleanhealthcoachingprogram.com/pages/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/a7093276-livecleanhealthcoachingprogram-contact-form.txt
a9b87c4c,Christyclarkphotos,wedding photography,https://www.christyclarkphotos.com,https://www.christyclarkphotos.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/a9b87c4c-christyclarkphotos-contact-form.txt
896a5012,Lavenderandmist,handmade candles,https://www.lavenderandmist.com,https://www.lavenderandmist.com/aboutcontact-us,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/896a5012-lavenderandmist-contact-form.txt
a9f4917c,Givemeamug,ceramic pottery,https://www.givemeamug.com,https://www.givemeamug.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/a9f4917c-givemeamug-contact-form.txt
00931b08,Katepugsley,print on demand,https://www.katepugsley.com,https://www.katepugsley.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/00931b08-katepugsley-contact-form.txt
a27f4820,Summerkimdesign,interior design,https://www.summerkimdesign.com,https://www.summerkimdesign.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/a27f4820-summerkimdesign-contact-form.txt
fa01f35c,Savvyinterior,interior design,https://www.savvyinterior.co.uk,https://www.savvyinterior.co.uk/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/fa01f35c-savvyinterior-contact-form.txt
7afae5ba,Nutripanda,nutrition coaching,https://www.nutripanda.com,https://www.nutripanda.com/contact-us,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/7afae5ba-nutripanda-contact-form.txt
ae330fb9,Danabassdesigns,interior design,https://www.danabassdesigns.com,https://www.danabassdesigns.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/ae330fb9-danabassdesigns-contact-form.txt
5dac0342,Sdvinteriors,interior design,https://www.sdvinteriors.com,https://www.sdvinteriors.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/5dac0342-sdvinteriors-contact-form.txt
490c099b,Ascendbusinesscoach,business coaching,https://www.ascendbusinesscoach.com,https://www.ascendbusinesscoach.com/contact-2/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/490c099b-ascendbusinesscoach-contact-form.txt
8eb5bfd3,Hopeplacetx,life coaching,https://www.hopeplacetx.com,https://www.hopeplacetx.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/8eb5bfd3-hopeplacetx-contact-form.txt
9562ed47,Shortorderorganizing,home organizing,https://www.shortorderorganizing.com,https://www.shortorderorganizing.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/9562ed47-shortorderorganizing-contact-form.txt
9db84652,Drcarolschumacher,health coaching,https://www.drcarolschumacher.com,https://www.drcarolschumacher.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/9db84652-drcarolschumacher-contact-form.txt
642cd75d,Planetnaturopath,nutrition coaching,https://www.planetnaturopath.com,https://www.planetnaturopath.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/642cd75d-planetnaturopath-contact-form.txt
7e7a0337,Ben Green,life coaching,https://ben-green.co.uk,https://ben-green.co.uk/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/7e7a0337-ben-green-contact-form.txt
2c18873e,Newyorkcitynutrition,nutrition coaching,https://newyorkcitynutrition.com,https://newyorkcitynutrition.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/2c18873e-newyorkcitynutrition-contact-form.txt
12eff7dd,Robbmccormick,wedding photography,https://robbmccormick.com,https://robbmccormick.com/contact-me,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/12eff7dd-robbmccormick-contact-form.txt
4e7e3387,Risingoakimages,wedding photography,https://risingoakimages.com,https://risingoakimages.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/4e7e3387-risingoakimages-contact-form.txt
1cc4fe85,Therapychanges,therapy,https://therapychanges.com,https://therapychanges.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/1cc4fe85-therapychanges-contact-form.txt
4b872ee0,Drdeborahcosmetis,therapy,https://drdeborahcosmetis.com,https://drdeborahcosmetis.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/4b872ee0-drdeborahcosmetis-contact-form.txt
